Product Name,Product Category,Stocks Required-2023-12-01,Stocks Required-2024-01-01,Stocks Required-2024-02-01,Stocks Required-2024-03-01,Stocks Required-2024-04-01,Stocks Required-2024-05-01,Stocks Required-2024-06-01,Stocks Required-2024-07-01,Stocks Required-2024-08-01,Stocks Required-2024-09-01,Stocks Required-2024-10-01,Stocks Required-2024-11-01,Stocks Required-2024-12-01,Stock Level Thresholds-Dec-2023,"Stock Level Thresholds-Jan-2024,",Stock Level Thresholds-Feb-2024,Stock Level Thresholds-Mar-2024,Stock Level Thresholds-Apr-2024,Stock Level Thresholds-May-2024,Stock Level Thresholds-Jun-2024,Stock Level Thresholds-Jul-2024,Stock Level Thresholds-Aug-2024,Stock Level Thresholds-Sep-2024,Stock Level Thresholds-Oct-2024,Stock Level Thresholds-Nov-2024,Stock Level Thresholds-Dec-2024,Seasonality-Dec-2023,"Seasonality-Jan-2024,",Seasonality-Feb-2024,Seasonality-Mar-2024,Seasonality-Apr-2024,Seasonality-May-2024,Seasonality-Jun-2024,Seasonality-Jul-2024,Seasonality-Aug-2024,Seasonality-Sep-2024,Seasonality-Oct-2024,Seasonality-Nov-2024,Seasonality-Dec-2024,Market Changes-Dec-2023,"Market Changes-Jan-2024,",Market Changes-Feb-2024,Market Changes-Mar-2024,Market Changes-Apr-2024,Market Changes-May-2024,Market Changes-Jun-2024,Market Changes-Jul-2024,Market Changes-Aug-2024,Market Changes-Sep-2024,Market Changes-Oct-2024,Market Changes-Nov-2024,Market Changes-Dec-2024,Product Type-Dec-2023,"Product Type-Jan-2024,",Product Type-Feb-2024,Product Type-Mar-2024,Product Type-Apr-2024,Product Type-May-2024,Product Type-Jun-2024,Product Type-Jul-2024,Product Type-Aug-2024,Product Type-Sep-2024,Product Type-Oct-2024,Product Type-Nov-2024,Product Type-Dec-2024,Lead time (in days)-Dec-2023,"Lead time (in days)-Jan-2024,",Lead time (in days)-Feb-2024,Lead time (in days)-Mar-2024,Lead time (in days)-Apr-2024,Lead time (in days)-May-2024,Lead time (in days)-Jun-2024,Lead time (in days)-Jul-2024,Lead time (in days)-Aug-2024,Lead time (in days)-Sep-2024,Lead time (in days)-Oct-2024,Lead time (in days)-Nov-2024,Lead time (in days)-Dec-2024,Supplier Reliabilty-Dec-2023,"Supplier Reliabilty-Jan-2024,",Supplier Reliabilty-Feb-2024,Supplier Reliabilty-Mar-2024,Supplier Reliabilty-Apr-2024,Supplier Reliabilty-May-2024,Supplier Reliabilty-Jun-2024,Supplier Reliabilty-Jul-2024,Supplier Reliabilty-Aug-2024,Supplier Reliabilty-Sep-2024,Supplier Reliabilty-Oct-2024,Supplier Reliabilty-Nov-2024,Supplier Reliabilty-Dec-2024,Stock Handing Efficiency-Dec-2023,"Stock Handing Efficiency-Jan-2024,",Stock Handing Efficiency-Feb-2024,Stock Handing Efficiency-Mar-2024,Stock Handing Efficiency-Apr-2024,Stock Handing Efficiency-May-2024,Stock Handing Efficiency-Jun-2024,Stock Handing Efficiency-Jul-2024,Stock Handing Efficiency-Aug-2024,Stock Handing Efficiency-Sep-2024,Stock Handing Efficiency-Oct-2024,Stock Handing Efficiency-Nov-2024,Stock Handing Efficiency-Dec-2024,Product Costs(In Rs.)-Dec-2023,"Product Costs(In Rs.)-Jan-2024,",Product Costs(In Rs.)-Feb-2024,Product Costs(In Rs.)-Mar-2024,Product Costs(In Rs.)-Apr-2024,Product Costs(In Rs.)-May-2024,Product Costs(In Rs.)-Jun-2024,Product Costs(In Rs.)-Jul-2024,Product Costs(In Rs.)-Aug-2024,Product Costs(In Rs.)-Sep-2024,Product Costs(In Rs.)-Oct-2024,Product Costs(In Rs.)-Nov-2024,Product Costs(In Rs.)-Dec-2024,Maximum discount offered (in percentage)-Dec-2023,"Maximum discount offered (in percentage)-Jan-2024,",Maximum discount offered (in percentage)-Feb-2024,Maximum discount offered (in percentage)-Mar-2024,Maximum discount offered (in percentage)-Apr-2024,Maximum discount offered (in percentage)-May-2024,Maximum discount offered (in percentage)-Jun-2024,Maximum discount offered (in percentage)-Jul-2024,Maximum discount offered (in percentage)-Aug-2024,Maximum discount offered (in percentage)-Sep-2024,Maximum discount offered (in percentage)-Oct-2024,Maximum discount offered (in percentage)-Nov-2024,Maximum discount offered (in percentage)-Dec-2024,Products Expiry (in months)-Dec-2023,"Products Expiry (in months)-Jan-2024,",Products Expiry (in months)-Feb-2024,Products Expiry (in months)-Mar-2024,Products Expiry (in months)-Apr-2024,Products Expiry (in months)-May-2024,Products Expiry (in months)-Jun-2024,Products Expiry (in months)-Jul-2024,Products Expiry (in months)-Aug-2024,Products Expiry (in months)-Sep-2024,Products Expiry (in months)-Oct-2024,Products Expiry (in months)-Nov-2024,Products Expiry (in months)-Dec-2024,Backorders-Dec-2023,"Backorders-Jan-2024,",Backorders-Feb-2024,Backorders-Mar-2024,Backorders-Apr-2024,Backorders-May-2024,Backorders-Jun-2024,Backorders-Jul-2024,Backorders-Aug-2024,Backorders-Sep-2024,Backorders-Oct-2024,Backorders-Nov-2024,Backorders-Dec-2024,Bulk orders (By customers)-Dec-2023,"Bulk orders (By customers)-Jan-2024,",Bulk orders (By customers)-Feb-2024,Bulk orders (By customers)-Mar-2024,Bulk orders (By customers)-Apr-2024,Bulk orders (By customers)-May-2024,Bulk orders (By customers)-Jun-2024,Bulk orders (By customers)-Jul-2024,Bulk orders (By customers)-Aug-2024,Bulk orders (By customers)-Sep-2024,Bulk orders (By customers)-Oct-2024,Bulk orders (By customers)-Nov-2024,Bulk orders (By customers)-Dec-2024,Profit gained (In Rs.)-Dec-2023,"Profit gained (In Rs.)-Jan-2024,",Profit gained (In Rs.)-Feb-2024,Profit gained (In Rs.)-Mar-2024,Profit gained (In Rs.)-Apr-2024,Profit gained (In Rs.)-May-2024,Profit gained (In Rs.)-Jun-2024,Profit gained (In Rs.)-Jul-2024,Profit gained (In Rs.)-Aug-2024,Profit gained (In Rs.)-Sep-2024,Profit gained (In Rs.)-Oct-2024,Profit gained (In Rs.)-Nov-2024,Profit gained (In Rs.)-Dec-2024
Fruit biscuit,Foods and Beverages,62,88,463,494,475,103,126,243,215,215,226,296,283,25,42,140,237,158,40,55,81,91,87,112,148,120,average,average,best,best,best,average,average,good,good,good,good,good,good,Minimal,Minimal,Extreme,Minimal,Good,Average,Good,Average,Extreme,Average,Extreme,Extreme,Average,slow selling,slow selling,fast selling,slow selling,slow selling,fast selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,4,7,3,7,4,7,6,4,2,5,5,5,6,average,best,good,best,best,good,average,best,best,best,good,average,good,average,poor,excellent,excellent,excellent,poor,poor,average,excellent,poor,poor,average,poor,69,324,389,144,127,220,341,369,387,146,398,496,341,41,23,12,23,49,11,11,19,34,34,22,49,27,10,47,32,19,9,39,30,30,13,42,43,23,10,24,51,27,29,4,45,63,53,13,50,6,36,14,often,often,often,often,very often,often,often,rare,very often,very often,very often,very often,very often,230.0,1080.0,1296.0,480.0,423.0,733.0,1136.0,1230.0,1290.0,486.0,1326.0,1653.0,1136.0
Uncle Chips,Foods and Beverages,446,106,372,322,270,70,431,324,412,139,453,253,231,126,52,150,123,117,24,214,84,160,43,224,76,60,best,average,best,best,good,average,best,best,best,good,best,good,good,Good,Good,Extreme,Average,Minimal,Minimal,Extreme,Minimal,Good,Average,Minimal,Minimal,Good,fast selling,fast selling,fast selling,slow selling,slow selling,slow selling,fast selling,slow selling,slow selling,fast selling,fast selling,slow selling,slow selling,2,3,4,7,4,2,5,7,4,3,7,6,5,good,best,best,average,best,best,average,good,best,average,best,best,average,excellent,poor,average,excellent,poor,poor,poor,excellent,average,average,excellent,poor,poor,35,263,38,349,150,161,313,169,335,131,413,274,376,41,5,34,13,16,25,17,45,9,37,46,50,34,15,16,47,10,25,39,31,41,44,7,37,18,18,30,38,11,3,2,49,45,33,24,24,57,37,50,often,often,very often,often,very often,very often,very often,often,very often,very often,rare,often,rare,116.0,876.0,126.0,1163.0,500.0,536.0,1043.0,563.0,1116.0,436.0,1376.0,913.0,1253.0
Yacolt,Foods and Beverages,220,92,394,391,87,295,200,214,87,296,488,254,154,86,37,121,193,35,87,100,59,43,98,125,121,68,good,average,best,best,average,good,good,good,average,good,best,good,good,Good,Minimal,Minimal,Good,Minimal,Good,Good,Good,Good,Extreme,Good,Extreme,Average,fast selling,slow selling,fast selling,slow selling,fast selling,fast selling,slow selling,slow selling,slow selling,fast selling,fast selling,fast selling,slow selling,4,6,2,2,3,7,4,3,5,3,7,3,3,good,average,good,best,best,good,average,good,best,good,good,average,best,average,excellent,average,poor,average,poor,excellent,average,average,poor,poor,average,poor,59,160,254,408,402,126,308,247,311,289,469,452,203,22,17,26,15,24,42,5,8,36,26,30,39,13,48,31,38,45,12,10,24,21,42,23,36,39,47,3,13,18,29,28,9,21,32,13,6,8,17,15,often,very often,rare,often,very often,very often,often,very often,very often,rare,very often,rare,often,196.0,533.0,846.0,1360.0,1340.0,420.0,1026.0,823.0,1036.0,963.0,1563.0,1506.0,676.0
Amul Bitter,Foods and Beverages,465,440,424,465,113,360,312,128,322,187,183,492,184,174,204,165,184,51,141,82,40,96,67,48,163,59,best,best,best,best,average,best,good,average,good,good,good,best,good,Minimal,Extreme,Average,Average,Minimal,Good,Minimal,Minimal,Good,Average,Extreme,Minimal,Minimal,fast selling,slow selling,slow selling,slow selling,fast selling,fast selling,slow selling,fast selling,fast selling,slow selling,slow selling,fast selling,fast selling,4,7,3,6,3,3,6,6,5,3,7,4,5,best,average,good,best,average,average,best,best,best,good,average,average,good,average,excellent,excellent,average,average,average,excellent,average,poor,average,average,poor,excellent,162,200,487,133,144,77,231,188,115,217,222,213,245,47,43,7,17,15,35,12,35,39,30,40,44,19,31,40,15,16,11,32,8,37,35,48,23,40,7,9,7,30,26,38,14,31,28,45,32,2,31,6,very often,very often,often,often,often,rare,often,rare,very often,very often,rare,rare,rare,540.0,666.0,1623.0,443.0,480.0,256.0,770.0,626.0,383.0,723.0,740.0,710.0,816.0
Red Bull,Foods and Beverages,59,254,498,289,181,360,347,85,449,448,205,201,77,25,67,214,136,87,129,118,41,148,151,71,85,19,average,good,best,good,good,best,good,average,best,best,good,good,average,Extreme,Minimal,Good,Good,Minimal,Minimal,Minimal,Average,Minimal,Average,Minimal,Good,Average,slow selling,fast selling,fast selling,fast selling,slow selling,slow selling,slow selling,fast selling,fast selling,slow selling,fast selling,slow selling,slow selling,5,6,7,6,5,4,4,5,6,5,3,6,4,average,best,best,average,best,best,best,good,good,good,best,best,good,average,poor,average,average,excellent,average,excellent,poor,average,average,average,poor,poor,272,59,273,369,369,477,445,44,314,17,446,40,73,48,37,17,18,47,32,30,36,50,11,28,31,29,21,39,19,9,22,26,41,9,41,21,21,16,13,1,1,12,12,1,4,4,6,6,5,17,8,6,rare,often,very often,very often,often,rare,rare,very often,very often,rare,rare,rare,rare,906.0,196.0,910.0,1230.0,1230.0,1590.0,1483.0,146.0,1046.0,56.0,1486.0,133.0,243.0
Hershley Chocolate,Foods and Beverages,340,108,161,361,102,342,213,208,488,311,370,411,293,93,48,65,127,30,140,62,97,237,122,167,190,96,good,average,good,best,average,best,good,good,best,good,best,best,good,Extreme,Extreme,Extreme,Minimal,Extreme,Average,Minimal,Minimal,Average,Average,Average,Minimal,Minimal,fast selling,fast selling,slow selling,slow selling,fast selling,fast selling,slow selling,slow selling,fast selling,slow selling,slow selling,slow selling,slow selling,6,3,3,3,5,2,3,6,4,2,2,4,2,best,best,average,good,average,average,best,good,best,best,average,best,best,poor,poor,poor,excellent,poor,excellent,poor,poor,excellent,average,poor,excellent,average,312,315,442,290,57,236,490,312,432,182,30,357,28,39,41,21,11,36,21,41,34,34,27,13,23,15,29,9,46,46,28,17,44,39,39,19,30,9,32,59,5,4,72,67,38,19,18,3,47,38,59,39,very often,very often,rare,very often,often,rare,often,rare,very often,very often,rare,often,often,1040.0,1050.0,1473.0,966.0,190.0,786.0,1633.0,1040.0,1440.0,606.0,100.0,1190.0,93.0
Kelloygs Corn Flakes,Foods and Beverages,171,265,424,458,207,444,309,379,422,455,64,164,250,72,92,164,171,96,119,100,101,204,186,23,80,117,good,good,best,best,good,best,good,best,best,best,average,good,good,Good,Minimal,Good,Extreme,Extreme,Minimal,Minimal,Extreme,Average,Extreme,Minimal,Minimal,Minimal,slow selling,slow selling,slow selling,slow selling,fast selling,fast selling,slow selling,slow selling,slow selling,slow selling,fast selling,slow selling,slow selling,5,3,3,4,4,4,4,7,7,4,4,3,4,average,average,best,good,good,good,average,good,average,average,average,good,best,poor,poor,average,poor,average,poor,excellent,average,excellent,excellent,average,poor,poor,346,85,500,217,41,69,256,389,382,318,399,396,120,9,19,37,33,50,39,47,47,7,36,46,44,8,6,7,6,10,42,20,8,47,31,21,9,35,42,8,8,49,23,23,23,22,33,20,20,17,19,43,rare,very often,rare,very often,rare,very often,rare,rare,often,rare,very often,very often,often,1153.0,283.0,1666.0,723.0,136.0,230.0,853.0,1296.0,1273.0,1060.0,1330.0,1320.0,400.0
Unibic Cashew,Foods and Beverages,133,280,160,254,326,321,438,315,432,131,232,97,243,39,118,65,109,82,126,134,113,169,58,97,25,118,good,good,good,good,best,best,best,best,best,average,good,average,good,Extreme,Average,Average,Extreme,Extreme,Extreme,Extreme,Average,Average,Minimal,Extreme,Average,Average,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,fast selling,slow selling,slow selling,slow selling,6,4,5,6,4,6,4,2,2,6,5,4,4,average,good,average,good,good,good,best,average,average,best,best,best,best,excellent,excellent,excellent,poor,average,poor,average,average,poor,poor,average,average,average,463,137,413,50,367,323,379,448,385,372,186,490,323,22,15,33,49,16,20,50,5,49,50,11,36,47,37,34,19,42,27,41,38,48,18,42,6,33,17,59,52,19,23,55,10,39,13,26,48,28,35,32,rare,rare,often,rare,often,very often,very often,very often,often,rare,very often,often,often,1543.0,456.0,1376.0,166.0,1223.0,1076.0,1263.0,1493.0,1283.0,1240.0,620.0,1633.0,1076.0
Coco cola,Foods and Beverages,220,396,216,200,177,200,220,398,277,483,292,448,127,77,177,58,100,64,51,110,125,81,183,73,193,63,good,best,good,good,good,good,good,best,good,best,good,best,average,Minimal,Average,Minimal,Minimal,Extreme,Good,Good,Good,Good,Minimal,Extreme,Good,Extreme,fast selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,fast selling,slow selling,slow selling,fast selling,4,3,7,6,5,5,5,6,5,4,3,5,5,good,good,average,best,best,average,average,best,good,best,best,best,average,excellent,excellent,excellent,average,poor,average,excellent,poor,excellent,poor,poor,excellent,poor,245,453,309,46,373,158,488,173,184,432,479,268,137,48,24,14,30,5,10,47,16,14,24,45,39,26,7,9,13,42,9,43,37,27,43,18,19,15,42,7,19,9,5,9,7,21,30,1,14,27,6,28,rare,often,rare,very often,often,very often,very often,rare,very often,often,rare,often,often,816.0,1510.0,1030.0,153.0,1243.0,526.0,1626.0,576.0,613.0,1440.0,1596.0,893.0,456.0
Haldiram's Murmura,Foods and Beverages,265,206,111,200,209,491,185,160,482,174,108,386,395,98,78,39,71,59,159,52,53,217,81,39,129,145,good,good,average,good,good,best,good,good,best,good,average,best,best,Minimal,Extreme,Minimal,Minimal,Minimal,Minimal,Minimal,Good,Good,Good,Minimal,Minimal,Minimal,fast selling,slow selling,slow selling,slow selling,slow selling,fast selling,fast selling,slow selling,fast selling,fast selling,slow selling,fast selling,slow selling,5,4,4,3,6,5,5,2,4,7,4,2,7,best,best,average,good,best,good,best,best,average,average,average,good,good,average,excellent,excellent,excellent,excellent,excellent,excellent,poor,average,average,poor,poor,excellent,210,276,69,362,80,138,249,348,383,12,154,70,124,5,28,13,29,26,49,49,48,31,49,41,29,26,40,28,7,17,41,42,31,33,32,46,17,44,48,6,72,55,82,17,73,14,52,65,4,22,34,98,very often,rare,rare,often,often,often,often,very often,rare,often,rare,rare,often,700.0,920.0,230.0,1206.0,266.0,460.0,830.0,1160.0,1276.0,40.0,513.0,233.0,413.0
Parle-Khari,Foods and Beverages,425,391,411,256,446,187,287,400,121,312,78,316,457,146,190,171,95,154,58,122,187,41,153,33,138,141,best,best,best,good,best,good,good,best,average,good,average,good,best,Good,Average,Good,Extreme,Minimal,Good,Extreme,Average,Minimal,Average,Extreme,Extreme,Good,fast selling,slow selling,slow selling,slow selling,slow selling,fast selling,slow selling,slow selling,fast selling,slow selling,slow selling,slow selling,slow selling,2,6,7,3,3,2,5,3,3,2,6,6,7,good,good,best,best,good,best,good,best,best,best,good,average,best,excellent,poor,average,average,poor,excellent,average,average,average,poor,excellent,average,poor,51,418,352,216,65,45,376,461,58,124,399,71,377,47,6,20,28,9,15,24,45,42,46,43,50,32,39,37,21,48,43,25,28,21,40,44,33,31,10,25,99,71,92,56,109,91,81,95,93,95,14,95,often,often,rare,very often,often,very often,rare,often,rare,often,rare,rare,rare,170.0,1393.0,1173.0,720.0,216.0,150.0,1253.0,1536.0,193.0,413.0,1330.0,236.0,1256.0
Balaji Sev murmura,Foods and Beverages,421,225,72,296,322,418,156,262,248,167,499,122,256,190,79,33,110,100,191,49,90,83,64,194,44,104,best,good,average,good,good,best,good,good,good,good,best,average,good,Minimal,Average,Good,Minimal,Good,Good,Minimal,Good,Extreme,Good,Average,Average,Minimal,fast selling,fast selling,slow selling,fast selling,slow selling,slow selling,fast selling,slow selling,slow selling,slow selling,fast selling,fast selling,slow selling,6,7,5,4,7,7,3,5,2,6,5,7,6,average,best,best,good,best,average,best,average,good,average,average,good,average,excellent,average,average,poor,poor,poor,poor,average,excellent,excellent,excellent,average,excellent,269,94,46,341,182,397,198,122,350,419,220,469,327,15,50,41,17,11,15,7,31,41,15,8,6,25,34,6,13,29,43,12,16,28,24,32,19,36,8,5,20,10,26,45,62,14,16,37,55,47,23,37,rare,very often,rare,rare,rare,rare,often,often,rare,often,often,very often,often,896.0,313.0,153.0,1136.0,606.0,1323.0,660.0,406.0,1166.0,1396.0,733.0,1563.0,1090.0
Amul Dahi,Foods and Beverages,381,464,225,182,326,79,182,92,157,288,384,205,212,97,185,70,85,102,19,90,38,62,114,129,92,95,best,best,good,good,best,average,good,average,good,good,best,good,good,Extreme,Minimal,Average,Good,Good,Extreme,Extreme,Minimal,Minimal,Good,Minimal,Good,Minimal,fast selling,slow selling,fast selling,slow selling,slow selling,fast selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,6,5,4,5,2,7,2,7,7,4,5,4,4,good,good,best,best,average,best,good,best,good,best,average,good,average,average,poor,poor,poor,excellent,average,excellent,poor,excellent,excellent,poor,excellent,average,290,188,298,468,234,494,63,483,256,65,187,250,91,50,43,23,7,9,10,36,32,39,20,12,12,28,43,39,29,47,9,34,34,32,47,45,18,37,18,26,5,14,24,9,43,13,17,23,7,24,4,11,very often,often,rare,often,rare,very often,often,very often,very often,often,often,rare,very often,966.0,626.0,993.0,1560.0,780.0,1646.0,210.0,1610.0,853.0,216.0,623.0,833.0,303.0
Milkibar,Foods and Beverages,129,199,257,112,231,50,489,162,313,470,184,67,328,56,53,75,34,66,22,139,65,86,197,46,32,95,average,good,good,average,good,average,best,good,good,best,good,average,good,Good,Good,Good,Good,Extreme,Average,Extreme,Extreme,Good,Average,Minimal,Average,Minimal,fast selling,slow selling,slow selling,fast selling,slow selling,fast selling,fast selling,fast selling,fast selling,fast selling,fast selling,slow selling,fast selling,5,4,3,3,5,6,6,7,6,6,2,7,7,best,average,average,average,average,average,good,average,good,best,average,average,average,poor,average,poor,average,average,average,excellent,poor,poor,poor,average,poor,poor,147,83,410,131,472,447,457,144,376,491,70,44,398,19,37,24,24,21,9,28,20,12,42,19,32,33,21,20,8,43,17,27,38,40,29,14,37,12,15,46,21,51,51,81,34,69,28,42,16,4,18,9,often,rare,rare,rare,very often,often,often,very often,often,rare,often,rare,often,490.0,276.0,1366.0,436.0,1573.0,1490.0,1523.0,480.0,1253.0,1636.0,233.0,146.0,1326.0
Instant Noodles,Foods and Beverages,331,280,337,229,491,289,288,163,178,311,349,370,423,123,102,111,109,193,90,108,79,69,150,127,166,130,good,good,good,good,best,good,good,good,good,good,best,best,best,Good,Extreme,Good,Extreme,Good,Average,Minimal,Minimal,Extreme,Minimal,Average,Minimal,Average,fast selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,7,5,7,3,6,6,4,3,3,7,4,2,3,good,average,best,good,average,best,good,average,good,average,best,best,best,average,excellent,average,excellent,excellent,average,excellent,excellent,excellent,excellent,average,average,poor,131,229,476,20,60,454,128,318,244,128,385,233,29,44,45,50,50,36,50,28,13,10,11,32,18,35,44,16,12,13,35,32,40,42,25,20,43,41,41,104,85,92,86,17,50,48,75,42,102,85,2,65,very often,often,very often,very often,rare,very often,often,very often,very often,often,often,rare,often,436.0,763.0,1586.0,66.0,200.0,1513.0,426.0,1060.0,813.0,426.0,1283.0,776.0,96.0
Snickers,Foods and Beverages,368,111,442,466,489,422,237,257,196,451,166,307,415,129,51,179,143,213,176,80,127,86,182,66,98,113,best,average,best,best,best,best,good,good,good,best,good,good,best,Minimal,Average,Good,Average,Minimal,Average,Minimal,Minimal,Extreme,Extreme,Average,Average,Minimal,fast selling,fast selling,fast selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,fast selling,fast selling,slow selling,slow selling,5,5,2,4,7,3,7,2,5,2,3,6,4,best,good,average,best,average,best,good,best,average,best,average,best,good,excellent,poor,average,excellent,excellent,poor,average,average,excellent,average,average,average,poor,266,482,151,405,181,122,229,91,191,184,56,306,228,6,12,7,12,45,44,24,10,12,15,29,33,45,11,8,42,20,23,21,44,19,31,11,19,19,37,24,24,48,57,39,38,80,68,56,50,84,2,11,rare,rare,rare,often,rare,rare,rare,often,often,often,very often,very often,rare,886.0,1606.0,503.0,1350.0,603.0,406.0,763.0,303.0,636.0,613.0,186.0,1020.0,760.0
Kelloygs Choco,Foods and Beverages,53,311,334,273,89,437,190,411,176,394,254,227,432,24,148,113,117,34,169,59,151,47,145,70,110,198,average,best,best,good,average,best,good,best,good,best,good,good,best,Extreme,Minimal,Average,Minimal,Average,Extreme,Extreme,Extreme,Extreme,Good,Good,Minimal,Average,slow selling,fast selling,slow selling,slow selling,slow selling,fast selling,fast selling,fast selling,fast selling,fast selling,slow selling,slow selling,fast selling,7,2,6,4,7,2,7,3,5,5,7,4,5,average,good,good,average,average,average,best,good,good,good,average,best,average,excellent,average,excellent,poor,excellent,poor,poor,poor,excellent,poor,average,average,average,426,197,293,472,335,116,415,11,76,402,218,465,375,31,30,24,49,43,9,49,14,20,18,22,5,40,37,13,25,47,27,33,31,20,41,11,33,37,18,71,101,47,98,55,22,65,60,45,15,15,15,30,often,often,rare,often,rare,rare,rare,often,rare,rare,rare,very often,very often,1420.0,656.0,976.0,1573.0,1116.0,386.0,1383.0,36.0,253.0,1340.0,726.0,1550.0,1250.0
Parle-50-50,Foods and Beverages,424,361,55,149,76,397,176,441,476,341,268,150,71,180,150,22,71,31,175,58,115,160,139,70,73,24,best,best,average,good,average,best,good,best,best,best,good,good,average,Extreme,Minimal,Minimal,Extreme,Minimal,Extreme,Minimal,Minimal,Good,Average,Average,Good,Extreme,fast selling,slow selling,fast selling,slow selling,slow selling,fast selling,fast selling,fast selling,slow selling,slow selling,slow selling,slow selling,slow selling,2,2,3,2,3,2,4,2,5,4,2,6,5,best,good,good,good,best,best,best,good,best,best,best,good,good,excellent,average,average,excellent,average,excellent,average,average,poor,excellent,average,average,poor,107,157,381,120,183,171,375,397,143,226,400,174,445,13,6,32,20,22,39,10,9,43,27,18,46,10,14,47,23,21,13,11,41,15,23,12,35,9,27,15,14,12,1,2,17,4,7,8,10,6,14,10,rare,often,often,rare,very often,rare,rare,very often,often,often,often,very often,often,356.0,523.0,1270.0,400.0,610.0,570.0,1250.0,1323.0,476.0,753.0,1333.0,580.0,1483.0
Sprite,Foods and Beverages,444,153,453,204,166,76,294,132,398,259,65,489,216,179,59,119,64,45,27,88,61,147,116,28,130,78,best,good,best,good,good,average,good,average,best,good,average,best,good,Minimal,Average,Extreme,Minimal,Minimal,Extreme,Minimal,Extreme,Good,Extreme,Extreme,Minimal,Average,fast selling,fast selling,fast selling,fast selling,slow selling,slow selling,fast selling,fast selling,fast selling,slow selling,fast selling,fast selling,fast selling,5,6,7,3,2,2,4,3,7,6,4,3,4,good,average,average,good,good,best,best,best,average,average,good,good,average,poor,average,average,excellent,poor,average,average,poor,average,excellent,poor,average,poor,457,93,171,312,61,32,184,314,300,51,142,414,278,41,43,14,15,21,40,36,19,25,19,6,17,34,6,46,23,11,12,9,19,6,20,33,26,42,48,27,16,31,27,30,6,22,26,34,32,53,29,32,rare,very often,very often,rare,very often,often,often,very often,often,often,rare,rare,rare,1523.0,310.0,570.0,1040.0,203.0,106.0,613.0,1046.0,1000.0,170.0,473.0,1380.0,926.0
Chitale Bhakarwadi,Foods and Beverages,80,107,120,264,457,480,228,238,206,290,276,136,57,23,50,35,86,158,134,76,99,79,114,107,53,14,average,average,average,good,best,best,good,good,good,good,good,average,average,Average,Average,Minimal,Good,Good,Minimal,Extreme,Good,Average,Minimal,Average,Extreme,Average,slow selling,slow selling,slow selling,fast selling,fast selling,slow selling,fast selling,slow selling,slow selling,slow selling,slow selling,fast selling,slow selling,5,3,6,3,3,3,7,5,7,4,4,6,3,good,average,best,best,good,average,best,average,good,average,good,average,best,poor,excellent,excellent,average,average,excellent,average,excellent,poor,average,average,average,average,378,25,477,221,183,234,11,449,485,112,469,354,200,21,9,39,25,7,20,30,14,5,27,46,27,30,34,35,19,24,13,30,30,37,35,7,34,29,37,5,13,5,8,1,3,1,12,11,8,11,14,3,very often,rare,rare,very often,rare,often,rare,often,often,rare,very often,rare,often,1260.0,83.0,1590.0,736.0,610.0,780.0,36.0,1496.0,1616.0,373.0,1563.0,1180.0,666.0
Britannia Khari,Foods and Beverages,313,436,391,443,419,368,237,84,320,275,107,351,305,147,121,102,138,193,177,69,24,111,104,35,100,88,best,best,best,best,best,best,good,average,best,good,average,best,good,Good,Extreme,Average,Good,Good,Extreme,Average,Extreme,Extreme,Minimal,Minimal,Extreme,Good,fast selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,slow selling,7,3,4,5,5,3,3,2,3,6,6,6,5,good,good,good,good,best,good,average,best,best,best,best,good,average,average,average,poor,excellent,average,excellent,poor,excellent,average,excellent,average,poor,poor,324,230,281,210,500,211,431,473,112,49,132,107,270,15,31,10,37,33,50,32,24,10,32,33,43,38,11,44,33,47,30,10,11,35,31,9,25,48,28,38,6,15,8,47,64,20,20,14,62,6,74,27,rare,often,rare,very often,rare,often,often,rare,very often,rare,often,very often,often,1080.0,766.0,936.0,700.0,1666.0,703.0,1436.0,1576.0,373.0,163.0,440.0,356.0,900.0
